countryname,idcntry,year,sste_jobpref,sste_jobprefse,math_gap,science_gap,reading_gap,teach_femshare,teach_stemgap,teach_postgradgap,teach_stemfemale,ownaccountgap,parliamentsharefem,fertilityrate,individualism,masculinity,uncertaintyavoidance,longtermorientation,indulgence,maternalmort,adobirth,seccompletionrate,gii,gdppc,lfparticipationfem,hdi
Albania,Albania,2017,,,0.00808534,-0.10768505,,0.89047617,0,-0.27458733,0.89047617,3.9405441,29.508196,1.597,,,,,,15,15.9,84.884567,0.234,5074.857222,47.43899918,0.795
Algeria,Algeria,2017,,,0.013154447,-0.035978556,,0.50116551,0,-0.010638298,0.50133336,26.986206,25.757576,2.9879999,,,,,,112,9.7,35.061142,0.443,4753.510987,15.125,0.748
Argentina,Argentina,2017,0.098216273,0.185142562,0.08009398,-0.006536007,-0.1371187,0.89338237,0.16439623,0.002341423,0.89338237,-4.2908745,40.85603,2.247,46,56,86,20,62,39,54.4,59.962002,0.354,10049.55524,47.43000031,0.845
Armenia,Armenia,2017,-0.003690396,0.069286823,-0.050117813,-0.11199158,,0.91734785,0,0.066265762,0.93792367,14.844982,23.484848,1.758,22,50,88,61,25,26,21.2,94.838211,0.259,4406.706434,51.21099854,0.776
Australia,Australia,2017,0.028542072,0.023028772,0.05171971,0.058155715,-0.20538318,0.60826933,0.088795125,0.032684088,0.6095264,0.65944672,30.463575,1.6569999,90,61,51,21,71,6,10.1,91.900558,0.103,56832.05048,59.24000168,0.944
Austria,Austria,2017,0.07727202,0.086172499,0.10134745,0.11490828,-0.079551637,0.83980381,0.18224686,-0.016114583,0.85445207,-0.44080353,39.344261,1.46,55,79,70,60,63,5,6.7,68.682129,0.073,50051.78591,54.9469986,0.922
Azerbaijan,Azerbaijan,2017,,,-0.018613588,-0.029396176,-0.12044579,0.94673121,0.010927737,-0.007788882,0.94673121,1.7164688,17.355371,1.8,,,,,,26,45,,0.321,5800.715184,62.96300125,0.756
Bahrain,Bahrain,2017,-0.059970453,0.129981309,-0.007847579,-0.15817809,-0.16223313,0.76430976,0.037928939,-0.16731781,0.77395207,10.906967,15,1.964,,,,,,14,13.6,60.974499,0.207,21478.11443,43.90100098,0.852
Belgium,Belgium,2017,-0.070555091,0.091888651,0.080971658,0.081243426,-0.054435417,0.7876491,0.04566431,-0.008568289,0.79469877,-0.36829376,41.333332,1.5700001,75,54,94,82,57,5,5.9,78.700836,0.045,47035.61395,47.76599884,0.931
Belize,Belize,2014,,,,,-0.23171461,0.65254235,0,0,0.65254235,-8.1987457,9.6774197,2.2739999,,,,,,36,64.3,86.047096,0.391,4217.207161,52.76800156,0.716
Bosnia and Herz.,Bosnia and Herz.,2017,,,0.02928856,-0.038355306,,0.7555815,0,-0.00923831,0.80308878,8.4345551,26.190475,1.2539999,,,,,,10,11,,0.162,6096.919492,35.26900101,0.78
Botswana,Botswana,2017,-0.005373899,0.031190971,-0.12830311,-0.1171748,-0.27373689,0.43426916,0.072361052,0.005869675,0.43402547,9.4217339,10.769231,2.836,,,,,,144,50,82.40403,0.464,8032.681937,65.2460022,0.735
Bulgaria,Bulgaria,2017,0.322565377,0.096358083,-0.028054282,-0.005343527,-0.18772018,0.90541834,0.060328543,-0.050690979,0.93090022,-3.0173187,26.666666,1.58,30,40,85,69,16,10,38.2,90.54068,0.218,8674.723202,47.76300049,0.816
Canada,Canada,2017,0.060813952,0.023694251,0.076239467,0.060814649,-0.13685606,0.72485673,0.15573579,0.044441029,0.72562194,-0.26049805,28.994083,1.4684,80,52,48,36,68,10,7.7,94.339622,0.083,51476.20077,60.80699921,0.929
Chile,Chile,2017,0.040905062,0.041510571,0.109846,0.13984454,-0.10964149,0.70754498,0.042821527,0.011410847,0.71066231,6.4800797,22.580645,1.627,23,28,86,31,68,13,26.4,77.895668,0.288,15111.69542,50.35100174,0.851
Colombia,Colombia,2017,0.027661551,0.059567805,0.18022346,0.21744323,-0.031224132,0.59177488,0.17539078,-0.04033038,0.59185439,6.9725418,18.343195,1.789,13,64,80,13,83,83,61,64.912094,0.411,7694.427333,58.6230011,0.767
