_countryname,_countrycode,_mean,_beta,_stderr,_ub,_lb,_fe,_obs,t-ratio,SignificanceInd
Algeria,[22] DZA,-1.01821,0.00875,0.01656,-0.02415,0.04165,3522,6664,0.528273208,0
Azerbaijan,[7] AZE,-0.46071,0.04338,0.08436,-0.14458,0.23135,203,348,0.514257412,0
Argentina,[3] ARG,-1.10400,0.04064,0.03458,-0.03641,0.11769,268,476,1.175216794,0
Australia,[5] AUS,0.25952,0.01006,0.00980,-0.00917,0.02928,16162,28061,1.026502189,0
Austria,[6] AUT,0.51789,0.01722,0.04155,-0.06487,0.09931,3413,6054,0.414401467,0
Bahrain,[10] BHR,0.13073,0.02045,0.03446,-0.04802,0.08891,1777,3194,0.593384608,0
Armenia,[4] ARM,-0.34643,0.00268,0.02834,-0.05306,0.05843,7542,13820,0.094674334,0
Bosnia and Herz.,[11] BIH,-0.38541,0.02148,0.02543,-0.02879,0.07175,3650,6752,0.84463047,0
Botswana,[13] BWA,-1.13599,0.00232,0.01022,-0.01779,0.02243,9919,18698,0.226815331,0
Bulgaria,[9] BGR,-0.19903,-0.01847,0.03283,-0.08314,0.04621,5040,9140,-0.562485016,0
Canada,[14] CAN,0.27000,0.00049,0.00685,-0.01295,0.01393,17831,32356,0.071454758,0
Chile,[16] CHL,-0.67989,0.00359,0.01188,-0.01978,0.02697,11070,20734,0.302409903,0
Taiwan,[86] TWN,0.78764,0.01732,0.00549,0.00655,0.02809,23911,44586,3.157380993,1
Colombia,[17] COL,-1.04083,0.00045,0.01639,-0.03189,0.03279,5092,9476,0.027373493,0
Cyprus,[18] CYP,-0.26232,-0.01072,0.01184,-0.03397,0.01252,15087,27888,-0.905563658,0
Czech Rep.,[19] CZE,0.44188,0.00265,0.01855,-0.03389,0.03918,6638,12248,0.142738736,0
Denmark,[21] DNK,0.18047,0.00671,0.01809,-0.02897,0.04238,3958,7148,0.370714718,0
El Salvador,[76] SLV,-1.33275,0.01157,0.01324,-0.01477,0.03791,2441,4534,0.873929037,0
Estonia,[26] EST,0.45849,0.05631,0.05100,-0.04519,0.15782,2359,4378,1.10410748,0
Finland,[27] FIN,0.33616,0.00602,0.01135,-0.01628,0.02831,8532,16163,0.530217488,0
France,[28] FRA,-0.04611,-0.01507,0.02147,-0.05737,0.02722,5458,10060,-0.702278249,0
Georgia,[29] GEO,-0.54160,-0.00946,0.02508,-0.05888,0.03996,4525,8188,-0.377294447,0
Palestine,[68] PSE,-0.56585,0.00641,0.04551,-0.09058,0.10341,390,710,0.140946485,0
Germany,[20] DEU,0.25414,0.02598,0.01924,-0.01208,0.06404,2212,3878,1.350120612,0
Ghana,[30] GHA,-1.92948,0.03115,0.02377,-0.01615,0.07845,3280,6238,1.310596044,0
Greece,[31] GRC,-0.27734,0.03169,0.02433,-0.01635,0.07973,4606,8630,1.302488557,0
Honduras,[33] HND,-1.46575,0.01397,0.01333,-0.01266,0.04059,2124,3974,1.047949224,0
